Week,Average of Channel 1 Views,Average of Channel 1 Interactions,Average of Channel 2 Views,Average of Channel 2 Interactions,Average of Site Visitors,Sum of Channel 1 Views,Sum of Channel 1 Interactions,Sum of Channel 2 Views,Sum of Channel 2 Interactions,Sum of Site Visitors
1/1/14 - 1/7/14,59429,1714,9085714,38429,25971,416000,12000,63600000,269000,181800
1/8/14 - 1/14/14,154286,3571,9100000,38429,26943,1080000,25000,63700000,269000,188600
1/15/14 - 1/21/14,161429,4143,12071429,56429,30243,1130000,29000,84500000,395000,211700
1/22/14 - 1/28/14,191429,4286,13842857,54143,31271,1340000,30000,96900000,379000,218900
1/29/14 - 2/4/14,214286,4000,15557143,65429,42171,1500000,28000,108900000,458000,295200
2/5/14 - 2/11/14,164286,3571,10514286,35000,26743,1150000,25000,73600000,245000,187200
2/12/14 - 2/18/14,148571,3286,16600000,43286,30014,1040000,23000,116200000,303000,210100
2/19/14 - 2/25/14,184286,4714,13928571,43429,33743,1290000,33000,97500000,304000,236200
2/26/14 - 3/4/14,152143,4000,13671429,43286,32143,1065000,28000,95700000,303000,225000
3/5/14 - 3/11/14,175714,4571,22928571,43714,28686,1230000,32000,160500000,306000,200800
3/12/14 - 3/18/14,180000,4571,36714286,43714,32029,1260000,32000,257000000,306000,224200
3/19/14 - 3/25/14,137143,3429,27000000,61857,39300,960000,24000,189000000,433000,275100
3/26/14 - 4/1/14,153571,3429,30642857,92714,51614,1075000,24000,214500000,649000,361300
4/2/14 - 4/8/14,255714,3857,5400000,28857,19614,1790000,27000,37800000,202000,137300
4/9/14 - 4/15/14,134286,3286,8814286,28714,17371,940000,23000,61700000,201000,121600
4/16/14 - 4/22/14,130000,3286,16485714,34714,19714,910000,23000,115400000,243000,138000
4/23/14 - 4/29/14,140000,3714,21371429,38286,22971,980000,26000,149600000,268000,160800
4/30/14 - 5/6/14,151429,3857,8071429,22571,17786,1060000,27000,56500000,158000,124500
5/7/14 - 5/13/14,162857,4000,6300000,23000,17157,1140000,28000,44100000,161000,120100
5/14/14 - 5/20/14,171429,4143,9257143,23000,17886,1200000,29000,64800000,161000,125200
5/21/14 - 5/27/14,167143,4000,10071429,23571,17100,1170000,28000,70500000,165000,119700
5/28/14 - 6/3/14,172857,4429,8628571,22857,18686,1210000,31000,60400000,160000,130800
6/4/14 - 6/10/14,145714,3429,6528571,23143,17471,1020000,24000,45700000,162000,122300
6/11/14 - 6/17/14,145714,4000,5071429,21000,15729,1020000,28000,35500000,147000,110100
6/18/14 - 6/24/14,140000,3857,4885714,21000,15243,980000,27000,34200000,147000,106700
6/25/14 - 7/1/14,137143,3714,5351429,18000,12629,960000,26000,37460000,126000,88400
7/2/14 - 7/8/14,111571,3429,965714,4857,8771,781000,24000,6760000,34000,61400
7/9/14 - 7/15/14,119000,3286,3671429,16143,13414,833000,23000,25700000,113000,93900
7/16/14 - 7/22/14,225714,4286,5557143,18286,14386,1580000,30000,38900000,128000,100700
7/23/14 - 7/29/14,215714,4714,8157143,22429,16871,1510000,33000,57100000,157000,118100
7/30/14 - 8/5/14,217143,3857,7171429,23000,17729,1520000,27000,50200000,161000,124100
8/6/14 - 8/12/14,200000,4714,7500000,23143,19514,1400000,33000,52500000,162000,136600
8/13/14 - 8/19/14,198571,4143,8114286,25000,17214,1390000,29000,56800000,175000,120500
8/20/14 - 8/26/14,254286,6143,9328571,27143,19500,1780000,43000,65300000,190000,136500
8/27/14 - 9/2/14,297143,6286,21914286,47571,20957,2080000,44000,153400000,333000,146700
9/3/14 - 9/9/14,351429,7143,10385714,37286,19886,2460000,50000,72700000,261000,139200
9/10/14 - 9/16/14,390000,7143,16771429,72000,30486,2730000,50000,117400000,504000,213400
9/17/14 - 9/23/14,348571,7571,41457143,102000,32414,2440000,53000,290200000,714000,226900
9/24/14 - 9/30/14,351429,7286,21757143,78286,28857,2460000,51000,152300000,548000,202000
10/1/14 - 10/7/14,315714,6143,3742857,7857,12800,2210000,43000,26200000,55000,89600
10/8/14 - 10/14/14,321429,6714,4514286,16714,15529,2250000,47000,31600000,117000,108700
10/15/14 - 10/21/14,292857,5571,4071429,10714,13257,2050000,39000,28500000,75000,92800
10/22/14 - 10/28/14,264286,4714,30942857,68286,18871,1850000,33000,216600000,478000,132100
10/29/14 - 11/4/14,195714,3857,38128571,75000,21171,1370000,27000,266900000,525000,148200
11/5/14 - 11/11/14,304286,4429,20871429,54000,19729,2130000,31000,146100000,378000,138100
11/12/14 - 11/18/14,260000,3857,27071429,66143,28900,1820000,27000,189500000,463000,202300
11/19/14 - 11/25/14,282857,3571,25442857,125857,51214,1980000,25000,178100000,881000,358500
11/26/14 - 12/2/14,205714,3143,21328571,110571,45529,1440000,22000,149300000,774000,318700
12/3/14 - 12/9/14,200000,3714,16771429,98000,40057,1400000,26000,117400000,686000,280400
12/10/14 - 12/16/14,168571,3571,38071429,144286,79171,1180000,25000,266500000,1010000,554200
12/17/14 - 12/23/14,184286,3000,34342857,142857,82314,1290000,21000,240400000,1000000,576200
12/24/14 - 12/30/14,204286,2857,40857143,178571,98186,1430000,20000,286000000,1250000,687300
12/31/14 - 1/6/15,135714,3143,13757143,84000,59357,950000,22000,96300000,588000,415500
1/7/15 - 1/13/15,161429,4286,14900000,82286,59814,1130000,30000,104300000,576000,418700
1/14/15 - 1/20/15,148571,5143,18285714,96143,60886,1040000,36000,128000000,673000,426200
1/21/15 - 1/27/15,171429,5571,28071429,87143,60571,1200000,39000,196500000,610000,424000
1/28/15 - 2/3/15,197143,6714,33028571,99857,68343,1380000,47000,231200000,699000,478400
2/4/15 - 2/10/15,230000,8571,90985714,397143,195857,1610000,60000,636900000,2780000,1371000
2/11/15 - 2/17/15,230000,7429,77214286,430000,185429,1610000,52000,540500000,3010000,1298000
2/18/15 - 2/24/15,227143,7857,82785714,442857,193000,1590000,55000,579500000,3100000,1351000
2/25/15 - 3/3/15,202857,7286,83800000,371429,218286,1420000,51000,586600000,2600000,1528000
3/4/15 - 3/10/15,191429,7571,69357143,360000,220571,1340000,53000,485500000,2520000,1544000
3/11/15 - 3/17/15,174286,7000,68671429,307143,180143,1220000,49000,480700000,2150000,1261000
3/18/15 - 3/24/15,238571,7857,99100000,495714,250143,1670000,55000,693700000,3470000,1751000
3/25/15 - 3/31/15,2244286,14857,118428571,485714,259714,15710000,104000,829000000,3400000,1818000
4/1/15 - 4/7/15,327143,6143,20585714,170000,88957,2290000,43000,144100000,1190000,622700
4/8/15 - 4/14/15,205714,6143,23842857,198571,90071,1440000,43000,166900000,1390000,630500
4/15/15 - 4/21/15,188571,6143,47142857,225714,112843,1320000,43000,330000000,1580000,789900
4/22/15 - 4/28/15,217143,6143,40857143,215714,107014,1520000,43000,286000000,1510000,749100
4/29/15 - 5/5/15,235714,6000,34000000,141429,77100,1650000,42000,238000000,990000,539700
5/6/15 - 5/12/15,220000,5857,32028571,154286,80500,1540000,41000,224200000,1080000,563500
5/13/15 - 5/19/15,344286,7000,65100000,200000,104214,2410000,49000,455700000,1400000,729500
5/20/15 - 5/26/15,1968571,17143,45771429,257143,133143,13780000,120000,320400000,1800000,932000
5/27/15 - 6/2/15,2554286,19714,66671429,324286,179714,17880000,138000,466700000,2270000,1258000
6/3/15 - 6/9/15,1514286,12143,61957143,264286,135143,10600000,85000,433700000,1850000,946000
6/10/15 - 6/16/15,1220000,12571,50914286,274286,140571,8540000,88000,356400000,1920000,984000
6/17/15 - 6/23/15,1292857,11429,44542857,265714,140571,9050000,80000,311800000,1860000,984000
6/24/15 - 6/30/15,1054286,11143,54671429,251429,142000,7380000,78000,382700000,1760000,994000